procedure,from_step,to_step
UK Public Bills,Fatal amendment to legislative consent motion not called,SC AM
UK Public Bills,SC BD,Fatal amendment to legislative consent motion not selected by Presiding Officer
UK Public Bills,Fatal amendment to legislative consent motion not selected by Presiding Officer,SC AN
UK Public Bills,SC AN,SC AM
UK Public Bills,Question put on fatal amendment to legislative consent motion,SC AN
UK Public Bills,Question put on fatal amendment to legislative consent motion,SC AG
UK Public Bills,SC BE,Question put on fatal amendment to legislative consent motion
UK Public Bills,SC AG,SC AS
UK Public Bills,SC AS,SC AK
UK Public Bills,SC AU,SC AG
UK Public Bills,SC AK,SC BG
UK Public Bills,SC AK,SC BF
UK Public Bills,SC BF,Fatal amendment to legislative consent motion agreed to
UK Public Bills,SC BG,Fatal amendment to legislative consent motion not agreed to
UK Public Bills,Fatal amendment to legislative consent motion not agreed to,SC AU
UK Public Bills,Fatal amendment to legislative consent motion agreed to,SC AU
UK Public Bills,Fatal amendment to legislative consent motion agreed to,SC AO
UK Public Bills,SC AQ,SC BE
UK Public Bills,SC AP,SC AQ
UK Public Bills,SC AG,SC AP
UK Public Bills,SC AG,SC AR
UK Public Bills,SC AG,SC AO
UK Public Bills,Question put on legislative consent motion,SC AE
UK Public Bills,SC AE,SC AT
UK Public Bills,SC AT,SC AL
UK Public Bills,SC AL,SC AW
UK Public Bills,SC AL,SC AX
UK Public Bills,SC AW,Legislative consent motion agreed to
UK Public Bills,Legislative consent motion agreed to,SC AV
UK Public Bills,SC AX,Legislative consent motion not agreed to
UK Public Bills,Legislative consent motion not agreed to,SC AV
UK Public Bills,SC AV,SC AE
UK Public Bills,SC AV,Question put on legislative consent motion
UK Public Bills,SC AO,SC AV
UK Public Bills,SC AN,SC AO
UK Public Bills,SC AO,SC AN
UK Public Bills,SC AM,SC AN
UK Public Bills,SC AL,SC AM
UK Public Bills,SC AN,SC AL
UK Public Bills,SC AB,SC AN
UK Public Bills,SC AI,SC AB
UK Public Bills,SC BH,Non-fatal amendment to legislative consent motion tabled
UK Public Bills,Non-fatal amendment to legislative consent motion tabled,SC AI
UK Public Bills,SC AI,SC AQ
UK Public Bills,SC AQ,SC AI
UK Public Bills,SC AO,SC AI
UK Public Bills,SC AI,SC BI
UK Public Bills,SC AI,SC BJ
UK Public Bills,SC AI,SC BK
UK Public Bills,SC AI,SC BL
UK Public Bills,SC AI,SC AS
UK Public Bills,SC BI,Non-fatal amendment to legislative consent motion withdrawn
UK Public Bills,SC BJ,Non-fatal amendment to legislative consent motion falls at dissolution
UK Public Bills,SC BK,Non-fatal amendment to legislative consent motion not moved
UK Public Bills,SC BL,Non-fatal amendment to legislative consent motion not called
UK Public Bills,SC BM,Non-fatal amendment to legislative consent motion not selected by Presiding Officer
UK Public Bills,Non-fatal amendment to legislative consent motion not selected by Presiding Officer,SC AS
UK Public Bills,Non-fatal amendment to legislative consent motion falls at dissolution,SC AP
UK Public Bills,Non-fatal amendment to legislative consent motion withdrawn,SC AO
UK Public Bills,Non-fatal amendment to legislative consent motion not moved,SC AQ
UK Public Bills,Non-fatal amendment to legislative consent motion not called,SC AR
UK Public Bills,SC AS,SC AR
UK Public Bills,SC AR,SC AQ
UK Public Bills,SC AQ,SC AP
UK Public Bills,SC AP,SC AO
UK Public Bills,Question put on nonfatal amendment to legislative consent motion,SC AS
UK Public Bills,Question put on nonfatal amendment to legislative consent motion,SC AH
UK Public Bills,SC BN,Question put on nonfatal amendment to legislative consent motion
UK Public Bills,SC AS,SC BN
UK Public Bills,SC AR,SC AS
UK Public Bills,SC AH,SC AR
UK Public Bills,SC AR,SC AJ
UK Public Bills,SC AJ,SC BO
UK Public Bills,SC AJ,SC BP
UK Public Bills,SC BO,Non-fatal amendment to legislative consent motion agreed to
UK Public Bills,SC BP,Non-fatal amendment to legislative consent motion not agreed to
UK Public Bills,Non-fatal amendment to legislative consent motion agreed to,SC AT
UK Public Bills,Non-fatal amendment to legislative consent motion not agreed to,SC AT
UK Public Bills,SC AT,SC AH
UK Public Bills,SC AI,SC BM
UK Public Bills,SC AA,SC BX
UK Public Bills,SC AD,SC AM
UK Public Bills,SC AC,SC AD
UK Public Bills,"Referred to the Economy, Trade and Rural Affairs Committee by the Business Committee",SC AC
UK Public Bills,Referred to the Equality and Social Justice Committee by the Business Committee,SC AC
UK Public Bills,SC AF,SC AN
UK Public Bills,SC AE,SC AF
UK Public Bills,Considered by the Equality and Social Justice Committee,SC AE
UK Public Bills,"Considered by the Economy, Trade and Rural Affairs Committee",SC AE
UK Public Bills,SC AA,SC BY
UK Public Bills,SC BY,"Referred to the Economy, Trade and Rural Affairs Committee by the Business Committee"
UK Public Bills,"Referred to the Economy, Trade and Rural Affairs Committee by the Business Committee",SC AV
UK Public Bills,"Referred to the Economy, Trade and Rural Affairs Committee by the Business Committee",SC CA
UK Public Bills,"Referred to the Economy, Trade and Rural Affairs Committee by the Business Committee",SC AW
UK Public Bills,SC CI,Equality and Social Justice Committee  oral evidence session
UK Public Bills,SC AY,SC CJ
UK Public Bills,SC CJ,Considered by the Equality and Social Justice Committee
UK Public Bills,Considered by the Equality and Social Justice Committee,SC BB
UK Public Bills,SC BB,SC AY
UK Public Bills,Considered by the Equality and Social Justice Committee,SC CK
UK Public Bills,SC CK,Government response to report by the Equality and Social Justice Committee
UK Public Bills,Considered by the Equality and Social Justice Committee,SC AL
UK Public Bills,SC AL,SC BC
UK Public Bills,SC BC,SC AQ
UK Public Bills,SC AQ,SC CL
UK Public Bills,SC AQ,SC CM
UK Public Bills,SC AQ,SC CN
UK Public Bills,SC CL,Equality and Social Justice Committee  supports the granting of consent
UK Public Bills,Equality and Social Justice Committee  supports the granting of consent,SC BC
UK Public Bills,SC CM,Equality and Social Justice Committee  does not take position on the granting of consent
UK Public Bills,Equality and Social Justice Committee  does not take position on the granting of consent,SC BC
UK Public Bills,SC CN,Equality and Social Justice Committee  does not support the granting of consent
UK Public Bills,Equality and Social Justice Committee  does not support the granting of consent,SC BB
UK Public Bills,SC BC,SC BB
UK Public Bills,SC BB,SC AL
UK Public Bills,SC CQ,"Government response to report by the Culture, Communication, Welsh Language, Sport and International Relations Committee"
UK Public Bills,"Considered by the Culture, Communication, Welsh Language, Sport and International Relations Committee",SC AN
UK Public Bills,SC AN,SC BE
UK Public Bills,SC BE,SC AS
UK Public Bills,SC BD,SC AN
UK Public Bills,SC AS,SC CR
UK Public Bills,SC AS,SC CS
UK Public Bills,SC AS,SC CT
UK Public Bills,SC CR,"Culture, Communication, Welsh Language, Sport and International Relations Committee supports the granting of consent"
UK Public Bills,"Culture, Communication, Welsh Language, Sport and International Relations Committee supports the granting of consent",SC BE
UK Public Bills,SC BE,SC BD
UK Public Bills,SC CS,"Culture, Communication, Welsh Language, Sport and International Relations Committee  does not take position on the granting of consent"
UK Public Bills,"Culture, Communication, Welsh Language, Sport and International Relations Committee  does not take position on the granting of consent",SC BE
UK Public Bills,SC CT,"Culture, Communication, Welsh Language, Sport and International Relations Committee does not support the granting of consent"
UK Public Bills,"Culture, Communication, Welsh Language, Sport and International Relations Committee does not support the granting of consent",SC BD
UK Public Bills,SC AA,SC CU
UK Public Bills,SC CU,"Referred to the Climate Change, Environment, and Infrastructure Committee by the Business Committee"
UK Public Bills,"Referred to the Climate Change, Environment, and Infrastructure Committee by the Business Committee",SC BA
UK Public Bills,SC BA,SC CV
UK Public Bills,SC CV,"Considered by the Climate Change, Environment, and Infrastructure Committee"
UK Public Bills,"Considered by the Climate Change, Environment, and Infrastructure Committee",SC BF
UK Public Bills,SC BF,SC BA
UK Public Bills,"Considered by the Climate Change, Environment, and Infrastructure Committee",SC CW
UK Public Bills,SC CW,"Government response to report by the Climate Change, Environment, and Infrastructure Committee"
UK Public Bills,"Considered by the Climate Change, Environment, and Infrastructure Committee",SC AO
UK Public Bills,SC AO,SC BG
UK Public Bills,SC BG,SC AT
UK Public Bills,SC BF,SC AO
UK Public Bills,SC AT,SC CZ
UK Public Bills,SC AT,SC CY
UK Public Bills,SC AT,SC CX
UK Public Bills,SC CX,"Climate Change, Environment, and Infrastructure Committee supports the granting of consent"
UK Public Bills,"Climate Change, Environment, and Infrastructure Committee supports the granting of consent",SC BG
UK Public Bills,SC BG,SC BF
UK Public Bills,SC CY,"Climate Change, Environment, and Infrastructure Committee  does not take position on the granting of consent"
UK Public Bills,"Climate Change, Environment, and Infrastructure Committee  does not take position on the granting of consent",SC BG
UK Public Bills,SC CZ,"Climate Change, Environment, and Infrastructure Committee   does not support the granting of consent"
UK Public Bills,"Climate Change, Environment, and Infrastructure Committee   does not support the granting of consent",SC BF
Legislative Reform Order,LRO AE,LROCCC AG
Legislative Reform Order,LROCCC AG,Considered by the Regulatory Reform Committee (RRC)
Legislative Reform Order,Considered by the Regulatory Reform Committee (RRC),LROCCC AF
Legislative Reform Order,LROCCC AF,LROCCC AG
Legislative Reform Order,Considered by the Regulatory Reform Committee (RRC),Government response to decision by the Regulatory Reform Committee (RRC)
Legislative Reform Order,Considered by the Regulatory Reform Committee (RRC),LROCCC AD
Legislative Reform Order,LROCCC AD,LROCCC AG
Legislative Reform Order,LROCCC AG,LROCCC AE
Legislative Reform Order,LROCCC AE,LROCCC AN
Legislative Reform Order,LROCCC AE,LROCCC AO
Legislative Reform Order,LROCCC AE,LROCCC AK
Legislative Reform Order,LROCCC AN,No concerns raised by the Regulatory Reform Committee (RRC)
Legislative Reform Order,LROCCC AO,Concerns raised by the Regulatory Reform Committee (RRC)
Legislative Reform Order,LROCCC AP,Regulatory Reform Committee (RRC) reports that the instrument is not appropriate to be made
Legislative Reform Order,No concerns raised by the Regulatory Reform Committee (RRC),LROCCC AH
Legislative Reform Order,Concerns raised by the Regulatory Reform Committee (RRC),LROCCC AI
Legislative Reform Order,Regulatory Reform Committee (RRC) reports that the instrument is not appropriate to be made,LROCCC AI
Legislative Reform Order,LROCCC AI,LROCCC AH
Legislative Reform Order,LROCCC AH,LROCCC AD
Legislative Reform Order,LRO AE,LROCCC AH
Legislative Reform Order,LROCCC AH,"Considered by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,"Considered by the Business, Energy and Industrial Strategy Committee",LROCCC AH
Legislative Reform Order,LROCCC AH,LROCCC AH
Legislative Reform Order,"Considered by the Business, Energy and Industrial Strategy Committee","Government response to decision by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,"Considered by the Business, Energy and Industrial Strategy Committee",LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AB
Legislative Reform Order,LROCCC AB,"No concerns raised by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,LROCCC AC,"Concerns raised by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,LROCCC AD,"Business, Energy and Industrial Strategy Committee reports that the instrument is not appropriate to be made"
Legislative Reform Order,"Concerns raised by the Business, Energy and Industrial Strategy Committee",LROCCC AB
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee reports that the instrument is not appropriate to be made",LROCCC AB
Legislative Reform Order,LROCCC AB,LROCCC AA
Legislative Reform Order,"No concerns raised by the Business, Energy and Industrial Strategy Committee",LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AA
Legislative Reform Order,LROCCC AD,LROCCC AA
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee reports that the instrument is not appropriate to be made",LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AF
Legislative Reform Order,LROCCC AF,LROCCC AA
Legislative Reform Order,LROCCC AM,LROCCC AA
Legislative Reform Order,LROCCC AA,LROCCC AB
Legislative Reform Order,LRO BL,LROCCC AB
Legislative Reform Order,LROCCC AB,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AE
Legislative Reform Order,LROCCC AE,Motion to disagree with the decision made by the Commons committee tabled
Legislative Reform Order,Motion to disagree with the decision made by the Commons committee tabled,LROCCC AB
Legislative Reform Order,LROCCC AB,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AB
Legislative Reform Order,LROCCC AB,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AE
Legislative Reform Order,LROCCC AE,Debate on motion to disagree with the decision made by the Commons committee
Legislative Reform Order,Debate on motion to disagree with the decision made by the Commons committee,LROCCC AE
Legislative Reform Order,LROCCC AE,LROCCC AE
Legislative Reform Order,LROCCC AA,LROCCC AC
Legislative Reform Order,LROCCC AA,LROCCC AJ
Legislative Reform Order,LROCCC AC,LROCCC AF
Legislative Reform Order,LROCCC AC,LROCCC AG
Legislative Reform Order,LROCCC AC,LROCCC AH
Legislative Reform Order,LROCCC AC,LROCCC AI
Legislative Reform Order,LROCCC AC,LROCCC AF
Legislative Reform Order,Debate on motion to disagree with the decision made by the Commons committee,LROCCC AF
Legislative Reform Order,LROCCC AF,LROCCC AJ
Legislative Reform Order,LROCCC AJ,Question put on motion to disagree with the decision made by the Commons committee
Legislative Reform Order,LROCCC AF,LROCCC AE
Legislative Reform Order,LROCCC AG,Motion to disagree with the decision made by the Commons committee lapsed at end of session
Legislative Reform Order,Motion to disagree with the decision made by the Commons committee lapsed at end of session,LROCCC AD
Legislative Reform Order,LROCCC AH,Motion to disagree with the decision made by the Commons committee not moved
Legislative Reform Order,Motion to disagree with the decision made by the Commons committee not moved,LROCCC AE
Legislative Reform Order,LROCCC AI,Motion to disagree with the decision made by the Commons committee not called
Legislative Reform Order,Motion to disagree with the decision made by the Commons committee not called,LROCCC AF
Legislative Reform Order,LROCCC AF,LROCCC AE
Legislative Reform Order,LROCCC AE,LROCCC AD
Legislative Reform Order,LROCCC AD,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AB
Legislative Reform Order,Question put on motion to disagree with the decision made by the Commons committee,LROCCC AF
Legislative Reform Order,Question put on motion to disagree with the decision made by the Commons committee,LROCCC AC
Legislative Reform Order,LROCCC AC,LROCCC AD
Legislative Reform Order,LROCCC AD,LROCCC AD
Legislative Reform Order,LROCCC AD,LROCCC AK
Legislative Reform Order,LROCCC AD,LROCCC AL
Legislative Reform Order,LROCCC AK,House resolves against committee decision
Legislative Reform Order,LROCCC AL,House resolves in favour of committee decision
Legislative Reform Order,House resolves against committee decision,LROCCC AG
Legislative Reform Order,House resolves in favour of committee decision,LROCCC AG
Legislative Reform Order,LROCCC AG,LROCCC AC
Legislative Reform Order,House resolves against committee decision,LROCCC AI
Legislative Reform Order,LROCCC AI,LROCCC AI
Legislative Reform Order,LROCCC AF,LROCCC AI
Legislative Reform Order,LROCCC AI,LROCCC AG
Legislative Reform Order,LROCCC AG,LROCCC AJ
Legislative Reform Order,LROCCC AJ,LROCCC AH
Legislative Reform Order,LROCCC AD,LROCCC AQ
Legislative Reform Order,LROCCC AQ,Decision on a motion to disagree with the decision made by the Commons committee deferred
Legislative Reform Order,LROCCC AI,LROCCC AK
Legislative Reform Order,LROAFF AD,LROCCC AF
Legislative Reform Order,LROCCC AO,LROCCC AE
Legislative Reform Order,LROCCC AG,LROCCC AM
Legislative Reform Order,LROAFF AD,LROCCC AG
Legislative Reform Order,LRONEG AH,LROCCC AG
Legislative Reform Order,LRO AC,LROCPD BI
Legislative Reform Order,LROCPD BI,"Procedure considered by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,LROCPD AA,LROCPD BH
Legislative Reform Order,LRO AC,LROCPD BG
Legislative Reform Order,LROCPD BG,Procedure considered by the Regulatory Reform Committee (RRC)
Legislative Reform Order,LROCPD AA,LROCPD BG
Legislative Reform Order,Procedure considered by the Regulatory Reform Committee (RRC),LROCPD AA
Legislative Reform Order,LROCPD AA,Government response to procedure recommendation by the Regulatory Reform Committee (RRC)
Legislative Reform Order,"Procedure considered by the Business, Energy and Industrial Strategy Committee",LROCPD AB
Legislative Reform Order,LROCPD AB,"Government response to the procedure recommendation by the Business, Energy and Industrial Strategy Committee"
Legislative Reform Order,"Procedure considered by the Business, Energy and Industrial Strategy Committee",LROCPD AA
Legislative Reform Order,Procedure considered by the Regulatory Reform Committee (RRC),LROCPD AS
Legislative Reform Order,LROCPD AA,LROCPD AA
Legislative Reform Order,LROCPD AA,LROCPD AA
Legislative Reform Order,Procedure considered by the Regulatory Reform Committee (RRC),LROCPD AA
Legislative Reform Order,LROCPD AA,LROCPD AB
Legislative Reform Order,LROCPD AB,LROCPD AB
Legislative Reform Order,LROCPD AB,LROCPD AA
Legislative Reform Order,LROCPD AB,LROCPD AB
Legislative Reform Order,LROCPD AB,LROCPD AC
Legislative Reform Order,LROCPD AB,LROCPD AD
Legislative Reform Order,LROCPD AB,LROCPD AE
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AA
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AB
Legislative Reform Order,Minister recommends the instrument follow the super-affirmative procedure,LROCPD AC
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AD
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AB
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AB
Legislative Reform Order,LROCPD AA,LROCPD AC
Legislative Reform Order,LROCPD AB,LROCPD AD
Legislative Reform Order,LROCPD AD,LROCPD AE
Legislative Reform Order,LROCPD AB,LROCPD AE
Legislative Reform Order,LROCPD AE,LROCPD AF
Legislative Reform Order,LROCPD AC,The Regulatory Reform Committee (RRC) agrees the instrument should follow the negative procedure
Legislative Reform Order,LROCPD AD,The Regulatory Reform Committee (RRC) agrees the instrument should follow the affirmative procedure
Legislative Reform Order,LROCPD AC,The Regulatory Reform Committee (RRC) agrees the instrument should follow the super-affirmative procedure
Legislative Reform Order,LROCPD AE,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the affirmative procedure
Legislative Reform Order,LROCPD AF,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the super-affirmative procedure
Legislative Reform Order,The Regulatory Reform Committee (RRC) agrees the instrument should follow the super-affirmative procedure,LROCPD AD
Legislative Reform Order,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the affirmative procedure,LROCPD AD
Legislative Reform Order,LROCPD AD,LROCPD AC
Legislative Reform Order,The Regulatory Reform Committee (RRC) agrees the instrument should follow the affirmative procedure,LROCPD AC
Legislative Reform Order,LROCPD AC,LROCPD AB
Legislative Reform Order,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the super-affirmative procedure,LROCPD AB
Legislative Reform Order,LROCPD AB,LROCPD AA
Legislative Reform Order,The Regulatory Reform Committee (RRC) agrees the instrument should follow the negative procedure,LROCPD AA
Legislative Reform Order,LROCPD AA,LROCPD AA
Legislative Reform Order,"Procedure considered by the Business, Energy and Industrial Strategy Committee",LROCPD AB
Legislative Reform Order,LROCPD AB,LROCPD AC
Legislative Reform Order,LROCPD AC,LROCPD AC
Legislative Reform Order,LROCPD AC,LROCPD AF
Legislative Reform Order,LROCPD AC,LROCPD AG
Legislative Reform Order,LROCPD AC,LROCPD AH
Legislative Reform Order,LROCPD AC,LROCPD AI
Legislative Reform Order,LROCPD AC,LROCPD AJ
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AF
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AG
Legislative Reform Order,Minister recommends the instrument follow the super-affirmative procedure,LROCPD AH
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AI
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AC
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AC
Legislative Reform Order,LROCPD AF,LROCPD AG
Legislative Reform Order,LROCPD AG,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the negative procedure"
Legislative Reform Order,LROCPD AG,LROCPD AH
Legislative Reform Order,LROCPD AH,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the affirmative procedure"
Legislative Reform Order,LROCPD AH,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the super-affirmative procedure"
Legislative Reform Order,LROCPD AI,LROCPD AI
Legislative Reform Order,LROCPD AI,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the affirmative procedure"
Legislative Reform Order,LROCPD AC,LROCPD AJ
Legislative Reform Order,LROCPD AJ,LROCPD AJ
Legislative Reform Order,LROCPD AJ,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the super-affirmative procedure"
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the negative procedure",LROCPD AE
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the affirmative procedure",LROCPD AG
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee agrees the instrument should follow the super-affirmative procedure",LROCPD AH
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the affirmative procedure",LROCPD AH
Legislative Reform Order,"Business, Energy and Industrial Strategy Committee recommends that the instrument should be upgraded to the super-affirmative procedure",LROCPD AF
Legislative Reform Order,LROCPD AH,LROCPD AG
Legislative Reform Order,LROCPD AG,LROCPD AF
Legislative Reform Order,LROCPD AF,LROCPD AE
Legislative Reform Order,LROCPD AE,LROCPD AB
Legislative Reform Order,The Regulatory Reform Committee (RRC) agrees the instrument should follow the negative procedure,LROCPD AD
Legislative Reform Order,LROCPD AT,LROCPD AD
Legislative Reform Order,The Regulatory Reform Committee (RRC) agrees the instrument should follow the affirmative procedure,LROCPD AE
Legislative Reform Order,LROCPD AU,LROCPD AE
Legislative Reform Order,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the affirmative procedure,LROCPD AG
Legislative Reform Order,LROCPD AV,LROCPD AG
Legislative Reform Order,The Regulatory Reform Committee (RRC) recommends that the instrument should be upgraded to the super-affirmative procedure,LROCPD AH
Legislative Reform Order,LROCPD AW,LROCPD AH
Legislative Reform Order,LROCPD AD,LROCPD AD
Legislative Reform Order,LROCPD AE,LROCPD AE
Legislative Reform Order,LROCPD AG,LROCPD AG
Legislative Reform Order,LROCPD AH,LROCPD AH
Legislative Reform Order,LROCPD AG,LROCPD AI
Legislative Reform Order,LROCPD AH,LROCPD AI
Legislative Reform Order,LROCPD AI,LROCPD AI
Legislative Reform Order,LROCPD AI,LROCPD BJ
Legislative Reform Order,LROCPD AK,LROCPD AK
Legislative Reform Order,LROCPD AK,Motion to disagree with the procedure recommendation made by the Commons committee tabled
Legislative Reform Order,Motion to disagree with the procedure recommendation made by the Commons committee tabled,LROCPD AC
Legislative Reform Order,LROCPD AC,LROCPD AE
Legislative Reform Order,LROCPD AD,LROCPD AG
Legislative Reform Order,LROCPD AG,LROCPD AL
Legislative Reform Order,LROCPD AL,LROCPD AY
Legislative Reform Order,LROCPD AL,LROCPD AZ
Legislative Reform Order,LROCPD AQ,House resolves against committee procedure recommendation
Legislative Reform Order,LROCPD AR,House resolves in favour of committee procedure recommendation
Legislative Reform Order,House resolves against committee procedure recommendation,LROCPD AM
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROCPD AM
Legislative Reform Order,LROCPD AM,LROCPD AD
Legislative Reform Order,LROCPD AI,LROCPD AL
Legislative Reform Order,House resolves against committee procedure recommendation,LROCPD AL
Legislative Reform Order,LROCPD AL,LROCPD AO
Legislative Reform Order,LROCPD AD,LROCPD AJ
Legislative Reform Order,LROCPD AJ,LROCPD AK
Legislative Reform Order,LROCPD AA,LROCPD AM
Legislative Reform Order,Procedure determination period ends,LROCPD AM
Legislative Reform Order,LROCPD AM,LROCPD AN
Legislative Reform Order,LROCPD AK,LROCPD AN
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROCPD AN
Legislative Reform Order,LROCPD AN,House of Commons agrees to the negative procedure
Legislative Reform Order,LROCPD AM,LROCPD AP
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROCPD AP
Legislative Reform Order,LROCPD AP,LROCPD AP
Legislative Reform Order,LROCPD AH,LROCPD AT
Legislative Reform Order,LROCPD AT,LROCPD AQ
Legislative Reform Order,Minister recommends the instrument follow the super-affirmative procedure,LROCPD AQ
Legislative Reform Order,LROCPD AQ,House of Commons agrees to the super-affirmative procedure
Legislative Reform Order,LROCPD AP,LROCPD AO
Legislative Reform Order,LROCPD AG,LROCPD AO
Legislative Reform Order,LROCPD AO,LROCPD AQ
Legislative Reform Order,LROCPD AE,LROCPD AM
Legislative Reform Order,LROCPD AM,LROCPD AN
Legislative Reform Order,LROCPD AN,LROCPD AN
Legislative Reform Order,LROCPD AN,LROCPD AS
Legislative Reform Order,Minister recommends the instrument follow the affirmative procedure,LROCPD AS
Legislative Reform Order,LROCPD AS,LROCPD AR
Legislative Reform Order,LROCPD AO,House of Commons agrees to the affirmative procedure
Legislative Reform Order,LROCPD AV,LROCPD AK
Legislative Reform Order,LRO BG,LROCPD AV
Legislative Reform Order,LROCPD AW,LROCPD AS
Legislative Reform Order,LRO BG,LROCPD AW
Legislative Reform Order,LROCPD AX,LROCPD AP
Legislative Reform Order,LRO BG,LROCPD AX
Legislative Reform Order,LROCPD AY,LROCPD AQ
Legislative Reform Order,LROCPD AZ,LROCPD AR
Legislative Reform Order,LRO BG,LROCPD AZ
Legislative Reform Order,LRO BG,LROCPD AY
Legislative Reform Order,House resolves against committee procedure recommendation,LROCPD AR
Legislative Reform Order,House resolves in favour of committee procedure recommendation,LROCPD AR
Legislative Reform Order,LROCPD AR,LROCPD AI
Legislative Reform Order,LROCCC AH,LROAFF AA
Legislative Reform Order,LROAFF AD,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AB
Legislative Reform Order,Minister recommends the instrument follow the negative procedure,LROAFF AB
Legislative Reform Order,LROAFF AB,LROAFF AA
Legislative Reform Order,LRO AL,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AB
Legislative Reform Order,LROAFF AB,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AA
Legislative Reform Order,LROAFF AA,Motion to approve the instrument tabled by the Government
Legislative Reform Order,Motion to approve the instrument tabled by the Government,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AB
Legislative Reform Order,LROAFF AA,LROAFF AC
Legislative Reform Order,LROAFF AA,LROAFF AD
Legislative Reform Order,LROAFF AA,LROAFF AE
Legislative Reform Order,LROAFF AK,Motion to approve the instrument withdrawn
Legislative Reform Order,Motion to approve the instrument withdrawn,LROAFF AA
Legislative Reform Order,LROAFF AC,Motion to approve the instrument lapsed at end of session
Legislative Reform Order,Motion to approve the instrument lapsed at end of session,LROAFF AB
Legislative Reform Order,LROAFF AD,Motion to approve the instrument not moved
Legislative Reform Order,Motion to approve the instrument not moved,LROAFF AC
Legislative Reform Order,LROAFF AE,Motion to approve the instrument not called
Legislative Reform Order,Motion to approve the instrument not called,LROAFF AD
Legislative Reform Order,Question on motion to approve the instrument put,LROAFF AD
Legislative Reform Order,LROAFF AD,LROAFF AC
Legislative Reform Order,LROAFF AC,LROAFF AB
Legislative Reform Order,LROAFF AB,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AA
Legislative Reform Order,LROAFF AA,LROAFF AE
Legislative Reform Order,LROCCC AH,LROAFF AE
Legislative Reform Order,LROAFF AE,LROAFF AF
Legislative Reform Order,LRO BK,LROAFF AF
Legislative Reform Order,LROAFF AF,LROAFF AG
Legislative Reform Order,LROAFF AD,LROAFF AD
Legislative Reform Order,LROAFF AD,LROAFF AG
Legislative Reform Order,LROAFF AG,LROAFF AF
Legislative Reform Order,LROAFF AF,Question on motion to approve the instrument put
Legislative Reform Order,Question on motion to approve the instrument put,LROAFF AB
